"YEAR","MONTH","DATE","SBC_SITE","LOCATION","COUNT","ACTIVITY","NOTES"
2008,1,"2008-01-03","NAPL","NAPL",1,"RAFTING",.
2008,1,"2008-01-03","AQUE","AQUE",0,.,.
2008,1,"2008-01-08","ABUR","ABUR",0,.,.
2008,1,"2008-01-08","MOHK","MOHK",0,.,.
2008,1,"2008-01-09","IVEE","IVEE",1,"RAFTING",.
2008,1,"2008-01-10","NAPL","NAPL",0,.,.
2008,1,"2008-01-11","CARP","CARP",0,.,.
2008,1,"2008-01-15","MOHK","MOHK",0,.,.
2008,1,"2008-01-17","MOHK","MOHK",0,.,.
2008,1,"2008-01-30","AQUE","AQUE",0,.,.
2008,1,"2008-01-31","CARP","CARP",0,.,.
2008,1,"2008-01-31","MOHK","MOHK",0,.,.
2008,2,"2008-02-01","AQUE","AQUE",7,"RAFTING","1 IN KELP BED; 6 ON OUTER EDGE OF KELP BED"
2008,2,"2008-02-01","NAPL","NAPL",0,.,.
2008,2,"2008-02-01","IVEE","IVEE",0,.,.
2008,2,"2008-02-01","GOLB","GOLB",0,.,.
2008,2,"2008-02-07","MOHK","MOHK",0,.,.
2008,2,"2008-02-07","ABUR","ABUR",0,.,.
2008,2,"2008-02-08","MOHK","MOHK",0,.,.
2008,2,"2008-02-12","CARP","CARP",0,.,.
2008,2,"2008-02-20","MOHK","MOHK",0,.,.
2008,2,"2008-02-27","LEADBETTER","LEADBETTER",1,.,"OUTSIDE LEADBETTER KELP BED"
2008,2,"2008-02-27","LEADBETTER","LEADBETTER",1,.,"OFFSHORE OF LEADBETTER"
2008,3,"2008-03-04","GOLB","GOLB",0,.,.
2008,3,"2008-03-04","MOHK","MOHK",0,.,.
2008,3,"2008-03-04","ABUR","ABUR",0,.,.
2008,3,"2008-03-05","AQUE","AQUE",12,.,"EDGE OF KELP BED"
2008,3,"2008-03-07","AQUE","AQUE",12,.,"OUTSIDE EDGE OF KELP BED"
2008,3,"2008-03-07","AQUE","AQUE",0,.,.
2008,3,"2008-03-07","IVEE","DEVEREAUX",1,.,.
2008,3,"2008-03-07","NAPL","NAPL",0,.,.
2008,3,"2008-03-11","CARP","CARP",0,.,.
2008,3,"2008-03-11","MOHK","MOHK",0,.,.
2008,3,"2008-03-18","MOHK","MOHK",0,.,.
2008,3,"2008-03-19","MOHK","MOHK",0,.,.
2008,3,"2008-03-21","MOHK","MOHK",0,.,.
2008,3,"2008-03-31","BULL","BULL",0,.,.
2008,3,"2008-03-31","AHND","AHND",0,.,.
2008,4,"2008-04-01","AQUE","AQUE",11,.,"OUTER EDGE OF KELP BED"
2008,4,"2008-04-01","IVEE","DEVEREAUX",1,.,.
2008,4,"2008-04-02","CARP","CARP",0,.,.
